"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"Bin.9.14",0.062831,0.086258,0.095898,0.11887,0.12499
"Bin.8.86",0.021347,0.033565,0.052364,0.08172,0.088628
"Bin.8.82",0.068561,0.10619,0.11374,0.14167,0.1488
"Bin.8.54",0.10568,0.093958,0.11479,0.1257,0.1309
"Bin.8.34",0.099898,0.14634,0.1412,0.14295,0.14327
"Bin.8.10",0.037541,0.060317,0.055489,0.071125,0.070338
"Bin.8.06",0.029444,0.045696,0.056761,0.071822,0.088718
"Bin.8.02",0.03691,0.035215,0.08257,0.094624,0.10575
"Bin.7.98",0.015353,0.031011,0.028651,0.064326,0.14415
"Bin.7.94",0.013881,0.1144,0.13634,0.13739,0.14898
"Bin.7.90",0.063409,0.068601,0.092865,0.1012,0.099835
"Bin.7.86",1.3723,1.4196,1.6521,1.6228,1.6029
"Bin.7.82",1.9136,2.081,2.2828,2.2461,2.2159
"Bin.7.74",0.026499,0.039295,0.037929,0.040676,0.046629
"Bin.7.66",0.70864,0.73127,0.83079,0.816,0.80479
"Bin.7.62",0.6547,0.68082,0.89778,0.88529,0.87454
"Bin.7.58",0.93662,0.96534,1.1951,1.1742,1.1581
"Bin.7.54",2.0917,2.211,2.4301,2.3926,2.3665
"Bin.7.50",0.020611,0.026907,0.029229,0.082826,0.11951
"Bin.7.46",0.16573,0.18575,0.18892,0.19017,0.18922
"Bin.7.42",0.21988,0.19567,0.25481,0.26037,0.29286
"Bin.7.38",0.24522,0.27918,0.34436,0.36054,0.39895
"Bin.7.34",0.17424,0.13059,0.177,0.18827,0.19708
"Bin.7.30",0.26909,0.36471,0.34799,0.37233,0.38364
"Bin.7.26",0.017982,0.054065,0.16596,0.16389,0.16277
"Bin.7.22",0.1938,0.20099,0.18569,0.2164,0.23493
"Bin.7.18",0.13292,0.14905,0.15425,0.21474,0.28046
"Bin.7.14",0.14438,0.19009,0.28876,0.4117,0.46188
"Bin.7.10",0.073819,0.075309,0.11876,0.15504,0.15338
"Bin.7.06",0.202,0.21053,0.30476,0.30609,0.31033
"Bin.7.02",0.16373,0.19403,0.23469,0.2309,0.22772
"Bin.6.98",0.015984,0.17899,0.20282,0.21675,0.21657
"Bin.6.94",0.022714,0.20218,0.22694,0.2316,0.23581
"Bin.6.90",0.029549,0.02415,0.037961,0.040079,0.062345
"Bin.6.86",0.01693,0.027302,0.035009,0.084094,0.16127
"Bin.4.38",0.095902,0.092795,0.096385,0.097075,0.14725
"Bin.4.34",0.28276,0.31037,0.32268,0.32241,0.42342
"Bin.4.30",0.29622,0.40654,0.39274,0.39076,0.4167
"Bin.4.26",0.28613,0.32891,0.32297,0.32216,0.33562
"Bin.4.22",0.39602,0.4694,0.53087,0.52623,0.56385
"Bin.4.18",0.26783,0.27808,0.25656,0.25386,0.25221
"Bin.4.14",0.365,0.39607,0.36389,0.36932,0.39695
"Bin.4.10",0.46416,0.6523,0.60447,0.59426,0.65348
"Bin.4.06",3.0605,2.8426,2.6018,2.5556,2.5218
"Bin.4.02",0.060149,0.33819,0.31732,0.40585,0.42104
"Bin.4.04",3.0003,3.0468,2.7913,2.7519,2.7226
"Bin.3.98",3.1704,3.283,3.493,3.4454,3.3989
"Bin.3.94",0.7505,1.3866,1.6615,1.7197,1.7127
"Bin.3.90",0.74219,0.54006,0.57101,0.57357,0.5932
"Bin.3.86",0.67699,0.4747,0.51359,0.50523,0.53064
"Bin.3.82",0.51968,0.36146,0.33192,0.3364,0.39589
"Bin.3.78",0.30358,0.21642,0.78768,0.82364,0.8152
"Bin.3.74",1.6463,1.1546,1.1885,1.2071,1.196
"Bin.3.70",1.8849,1.4498,1.3305,1.3117,1.3016
"Bin.3.66",0.65302,0.88198,0.85212,0.85421,0.84686
"Bin.3.62",0.64198,0.56641,0.63028,0.63777,0.65593
"Bin.3.58",0.69424,1.0086,1.1015,1.0863,1.0762
"Bin.3.54",0.87384,0.6544,0.61067,0.60137,0.59984
"Bin.3.50",0.80654,0.8697,0.98258,0.9657,0.95846
"Bin.3.46",0.66742,0.98813,1.2461,1.225,1.2205
"Bin.3.42",0.59991,1.2243,1.6029,1.5748,1.6239
"Bin.3.38",0.23628,0.19681,0.27754,0.27511,0.28136
"Bin.3.34",0.26951,0.31369,0.36415,0.38765,0.42806
"Bin.3.30",0.36016,0.4166,0.45397,0.45503,0.47529
"Bin.3.26",0.3977,0.98672,0.92726,1.64,1.9087
"Bin.3.22",0.98489,0.8379,0.94437,1.0607,1.0472
"Bin.3.18",0.32914,0.31663,0.36694,0.36228,0.36231
"Bin.3.14",0.60717,0.59953,0.66487,0.65363,0.65296
"Bin.3.10",0.24438,0.25282,0.23643,0.23223,0.2411
"Bin.3.06",4.9665,4.466,4.1476,4.0828,4.0292
"Bin.3.02",0.41379,0.32013,0.4243,0.48195,0.58157
"Bin.3.04",5.3803,4.608,4.2354,4.1601,4.107
"Bin.2.98",0.24144,0.30001,0.31761,0.31283,0.30865
"Bin.2.94",0.011883,0.0083721,0.076145,0.10416,0.10955
"Bin.2.90",0.017666,0.030596,0.15187,0.19051,0.2022
"Bin.2.86",0.12619,0.1324,0.12285,0.1239,0.12287
"Bin.2.82",0.0024186,0.003518,0.018964,0.01944,0.041301
"Bin.2.78",0.049003,0.078785,0.078051,0.087399,0.086196
"Bin.2.74",0.24459,0.18076,0.19795,0.20997,0.2388
"Bin.2.70",1.9114,2.4977,2.5273,2.4827,2.4611
"Bin.2.66",1.6693,1.9963,1.9074,1.925,1.9421
"Bin.2.62",0.21967,0.29655,0.3168,0.31667,0.31272
"Bin.2.58",0.96817,1.2713,1.3652,1.359,1.3458
"Bin.2.54",2.6197,3.1628,3.0631,3.076,3.1179
"Bin.2.50",0.27772,0.33905,0.36258,0.35614,0.35126
"Bin.2.46",0.32136,0.48342,0.54078,0.53213,0.52501
"Bin.2.42",0.035227,0.12778,0.20507,0.20276,0.2003
"Bin.2.38",0.045322,0.041263,0.14869,0.15536,0.16222
"Bin.2.34",0.2346,0.26786,0.25386,0.26155,0.25843
"Bin.2.30",0.51053,0.42314,0.38998,0.39078,0.38647
"Bin.2.26",0.5671,0.63665,0.64664,0.63531,0.63452
"Bin.2.22",0.32451,0.24942,0.25873,0.26879,0.27232
"Bin.2.18",0.12966,0.23038,0.32296,0.45664,0.45433
"Bin.2.14",0.1673,0.11647,0.16985,0.16696,0.16531
"Bin.2.10",0.4242,0.58087,0.56585,0.55943,0.55441
"Bin.2.06",0.46447,0.79441,0.76173,0.76691,0.78875
"Bin.2.02",0.26184,0.36851,0.36572,0.3653,0.36426
"Bin.1.98",0.26184,0.36761,0.36609,0.35971,0.355
"Bin.1.94",0.29454,0.39944,0.37553,0.37767,0.39617
"Bin.1.90",0.30863,0.38907,0.3633,0.35922,0.35997
"Bin.1.86",0.2182,0.30275,0.30748,0.30305,0.3006
"Bin.1.82",0.18991,0.276,0.26198,0.25785,0.2585
"Bin.1.78",0.22125,0.31536,0.30329,0.29835,0.29828
"Bin.1.74",0.30569,0.38489,0.37009,0.36544,0.36043
"Bin.1.70",0.42262,0.5496,0.54214,0.53584,0.52992
"Bin.1.66",0.31715,0.42611,0.40816,0.40148,0.39879
"Bin.1.62",0.27551,0.33178,0.31421,0.30876,0.3077
"Bin.1.58",0.2142,0.27494,0.25559,0.25305,0.25485
"Bin.1.54",0.28035,0.32353,0.37366,0.3673,0.36403
"Bin.1.50",0.27666,0.24969,0.23064,0.22863,0.22627
"Bin.1.46",0.28403,0.21826,0.20355,0.20105,0.22754
"Bin.1.42",0.32125,0.31413,0.29039,0.28522,0.28629
"Bin.1.38",0.25721,0.33805,0.32017,0.31455,0.31035
"Bin.1.34",0.51695,0.3601,0.45082,0.45615,0.44998
"Bin.1.30",0.12987,0.093694,0.29794,0.36547,0.36625
"Bin.1.26",0.22756,0.30642,0.50443,0.53262,0.54876
"Bin.1.22",0.024712,0.41544,0.72476,0.72672,0.73435
"Bin.1.18",0.41379,0.28762,0.46562,0.48076,0.48629
"Bin.1.14",0.36563,0.31627,0.36737,0.4367,0.46844
"Bin.1.10",0.021241,0.04088,0.038142,0.044367,0.046288
"Bin.1.06",0.17572,0.18423,0.17246,0.17919,0.17953
"Bin.1.02",0.36973,0.39009,0.37545,0.3743,0.37483
"Bin.0.98",0.66458,0.72281,0.68279,0.686,0.69001
"Bin.0.94",0.88762,1.0583,1.0185,1.0119,1.0082
"Bin.0.90",0.61663,0.7443,0.69603,0.68507,0.67585
"Bin.0.86",0.53566,0.62581,0.58274,0.57243,0.56477
"Bin.0.82",0.41547,0.49115,0.47798,0.47165,0.4658
"Bin.0.78",0.27067,0.32145,0.31248,0.3079,0.3037
"Bin.0.74",0.20253,0.24132,0.23377,0.22975,0.22791
